ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1780769	2.69e-04	4.18e-05	4.453961	1.717568	0.3729806	68051719	TUBB4B	tubulin beta 4B class IVb
ILMN_2225577	2.97e-04	4.73e-05	-4.418347	1.712621	-0.336741	151101300	POC5	POC5 centriolar protein
ILMN_1738883	3.41e-04	5.58e-05	4.369714	1.712304	0.6191785	37655166	RNF135	ring finger protein 135
ILMN_1784178	3.54e-04	5.82e-05	-4.357071	1.708893	-0.9134613	594140710	IFT172	intraflagellar transport 172
ILMN_1839750	2.75e-04	4.31e-05	4.445444	1.708309	0.4342317	NA		
ILMN_1713402	2.83e-04	4.45e-05	4.43618	1.705533	0.3660729	149393137	FAM160A2	family with sequence similarity 160 member A2
ILMN_1774890	3.51e-04	5.75e-05	-4.360451	1.704436	-0.5433691	282403489	LAS1L	LAS1 like, ribosome biogenesis factor
ILMN_2338452	2.63e-04	4.08e-05	4.461452	1.701057	0.4412585	189163526	SERPINA1	serpin family A member 1
ILMN_1766171	3.06e-04	4.88e-05	4.408635	1.697568	0.5191178	953953832	SNF8	SNF8, ESCRT-II complex subunit
ILMN_2149566	3.02e-04	4.82e-05	4.412459	1.694019	0.3038967	527498273	VPS25	vacuolar protein sorting 25 homolog
ILMN_1713394	2.40e-04	3.65e-05	-4.494224	1.693426	-0.3592527	NA		
ILMN_1656129	3.51e-04	5.75e-05	-4.360493	1.691406	-0.5798992	187936947	SLC39A10	solute carrier family 39 member 10
ILMN_1784717	2.46e-04	3.76e-05	-4.485327	1.690668	-0.2890167	48255921	RPS19	ribosomal protein S19
ILMN_1774062	2.63e-04	4.08e-05	-4.46115	1.689319	-0.3201431	258547133	SLC25A5	solute carrier family 25 member 5
ILMN_1708029	3.56e-04	5.85e-05	-4.355452	1.68536	-0.6373312	110556650	TMEM8B	transmembrane protein 8B
ILMN_1667925	2.94e-04	4.66e-05	-4.422251	1.68147	-0.3863502	163310761	PDCL3	phosducin like 3
ILMN_2388975	2.71e-04	4.23e-05	-4.450792	1.680164	-0.3551706	NA		
ILMN_1736700	2.70e-04	4.21e-05	4.451994	1.677317	0.3819198	342187194	ALDOA	aldolase, fructose-bisphosphate A
ILMN_2372639	2.71e-04	4.22e-05	4.45137	1.675295	0.5622527	109698598	TRAPPC5	trafficking protein particle complex 5
ILMN_1781184	2.92e-04	4.63e-05	4.424356	1.673262	0.7310214	148596956	MYBPC3	myosin binding protein C, cardiac
ILMN_1672554	3.62e-04	5.98e-05	-4.349159	1.666738	-0.490596	571330736	ELP5	elongator acetyltransferase complex subunit 5
ILMN_1680437	2.60e-04	4.02e-05	-4.466035	1.66561	-0.4391417	NA		
ILMN_1690487	2.74e-04	4.29e-05	-4.44702	1.664651	-0.365227	134142825	PCM1	pericentriolar material 1
ILMN_2089073	2.85e-04	4.48e-05	4.434107	1.659688	0.6905438	731441393	ATP9A	ATPase phospholipid transporting 9A (putative)
ILMN_2356672	2.80e-04	4.39e-05	-4.439743	1.659613	-0.3303822	78000155	EIF2B4	eukaryotic translation initiation factor 2B subunit delta
ILMN_2062370	3.07e-04	4.91e-05	-4.406979	1.657154	-0.4303247	194294559	NOL8	nucleolar protein 8
ILMN_1855286	3.29e-04	5.35e-05	-4.382118	1.653838	-0.4390667	28277084	CEP85L	centrosomal protein 85 like
ILMN_1796912	2.80e-04	4.39e-05	-4.439667	1.653587	-0.3288986	166064031	ARHGEF7	Rho guanine nucleotide exchange factor 7
ILMN_2393243	3.24e-04	5.25e-05	-4.387208	1.652231	-0.4233035	56549684	GTPBP8	GTP binding protein 8 (putative)
ILMN_1686553	3.39e-04	5.55e-05	-4.371162	1.647681	-0.5106799	221218982	INTS2	integrator complex subunit 2
ILMN_1658383	2.87e-04	4.54e-05	4.430409	1.644382	0.7915725	731441387	HSPA6	heat shock protein family A (Hsp70) member 6
ILMN_1809889	2.86e-04	4.51e-05	-4.432375	1.640472	-0.3489559	546231963	CCDC117	coiled-coil domain containing 117
ILMN_1814173	2.86e-04	4.50e-05	-4.43283	1.638132	-0.2644077	192807310	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
ILMN_1806999	2.94e-04	4.67e-05	4.421712	1.631205	0.4211371	226371645	B9D2	B9 protein domain 2
ILMN_2372011	3.16e-04	5.09e-05	4.39678	1.628951	0.3658174	319655724	SCAND1	SCAN domain containing 1
