ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
ILMN_1719998	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1	-1.2	5.494
ILMN_1721127	HIST1H3D	histone cluster 1, H3d	1.17	6.095
ILMN_1721888	ITGA2B	integrin subunit alpha 2b	1.573	7.85
ILMN_1722158	CASP5	caspase 5	1.9	10.028
ILMN_1722981	TLR5	toll like receptor 5	1.374	11.26
ILMN_1723436	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	1.004	4.787
ILMN_1723662	ABHD2	abhydrolase domain containing 2	1.165	4.647
ILMN_1723912	IFI44L	interferon induced protein 44 like	1.259	3.198
ILMN_1724480	AXIN2	axin 2	-1.008	5.672
ILMN_1724789	CD59	CD59 molecule	1.255	8.494
ILMN_1725247	GTF2A1	general transcription factor IIA subunit 1	1.134	4.898
ILMN_1725417	NELL2	neural EGFL like 2	-1.293	7.445
ILMN_1725471	GK	glycerol kinase	1.333	8.836
ILMN_1725661	DEFA1B	defensin alpha 1B	1.203	2.916
ILMN_1726545	LILRA5	leukocyte immunoglobulin like receptor A5	1.551	8.53
ILMN_1726591	CARD16	caspase recruitment domain family member 16	1.242	8.897
ILMN_1727271	WARS	tryptophanyl-tRNA synthetase	1.531	17.822
ILMN_1728107	GNG7	G protein subunit gamma 7	-1.1	7.657
ILMN_1728677	CREB5	cAMP responsive element binding protein 5	1.063	3.909
ILMN_1729208	BEX3	brain expressed X-linked 3	1.035	7.557
ILMN_1729453	TSPAN9	tetraspanin 9	1.033	7.034
ILMN_1730454	FOLR3	folate receptor 3	1.062	2.175
ILMN_1732071	HIST2H2BE	histone cluster 2, H2be	1.033	8.68
ILMN_1732269	GP6	glycoprotein VI platelet	1.176	9.524
ILMN_1732296	ID3	inhibitor of DNA binding 3, HLH protein	-1.202	8.246
ILMN_1732923	SIPA1L2	signal induced proliferation associated 1 like 2	1.105	5.876
ILMN_1733324	ITGB3	integrin subunit beta 3	1.432	8.101
ILMN_1733998			1.109	8.588
ILMN_1734878	CD79A	CD79a molecule	-1.584	9.112
