"initial_alias","converted_alias","name","description","namespace"
"TYMP","ENSG00000025708","TYMP","thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFITM3","ENSG00000142089","IFITM3","interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACTA2","ENSG00000107796","ACTA2","actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOL2","ENSG00000128335","APOL2","apolipoprotein L2 [Source:HGNC Symbol;Acc:HGNC:619]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HIST2H2AC","None","None","None",""
"TPM4","ENSG00000167460","TPM4","tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPSTI1","ENSG00000133106","EPSTI1","epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNFSF10","ENSG00000121858","TNFSF10","TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PML","ENSG00000140464","PML","PML nuclear body scaffold [Source:HGNC Symbol;Acc:HGNC:9113]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LACTB","ENSG00000103642","LACTB","lactamase beta [Source:HGNC Symbol;Acc:HGNC:16468]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RTP4","ENSG00000136514","RTP4","receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFITM1","ENSG00000185885","IFITM1","interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GYG1","ENSG00000163754","GYG1","glycogenin 1 [Source:HGNC Symbol;Acc:HGNC:4699]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPM3","ENSG00000143549","TPM3","tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HIST2H2AA3","None","None","None",""
"TNFAIP6","ENSG00000123610","TNFAIP6","TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GADD45B","ENSG00000099860","GADD45B","growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYOF","ENSG00000138119","MYOF","myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HPSE","ENSG00000173083","HPSE","heparanase [Source:HGNC Symbol;Acc:HGNC:5164]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SP100","ENSG00000067066","SP100","SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLB","ENSG00000070501","POLB","DNA polymerase beta [Source:HGNC Symbol;Acc:HGNC:9174]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMB9","ENSG00000240065","PSMB9","proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"H1F0","None","None","None",""
"STK3","ENSG00000104375","STK3","serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:11406]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASP1","ENSG00000137752","CASP1","caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM22","ENSG00000132274","TRIM22","tripartite motif containing 22 [Source:HGNC Symbol;Acc:HGNC:16379]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
